Month-Year,Precipitation
JAN -2000,31.3
FEB -2000,37.3
MAR -2000,47.2
APR -2000,51
MAY -2000,63.5
JUN -2000,71.3
JUL -2000,72.3
AUG -2000,72.7
SEP -2000,66
OCT -2000,57
NOV -2000,45.3
DEC -2000,31.1
JAN -2001,33.6
FEB -2001,35.9
MAR -2001,39.6
APR -2001,54.2
MAY -2001,63.8
JUN -2001,72.9
JUL -2001,73.2
AUG -2001,78.7
SEP -2001,67.7
OCT -2001,58.5
NOV -2001,52.7
DEC -2001,44.1
JAN -2002,39.9
FEB -2002,40.6
MAR -2002,44.1
APR -2002,56.1
MAY -2002,60.7
JUN -2002,71.4
JUL -2002,78.8
AUG -2002,77.7
SEP -2002,70.2
OCT -2002,55.2
NOV -2002,46
DEC -2002,36
JAN -2003,27.5
FEB -2003,30.1
MAR -2003,43.1
APR -2003,49.8
MAY -2003,58.7
JUN -2003,68.3
JUL -2003,75.8
AUG -2003,76.7
SEP -2003,67.9
OCT -2003,55.1
NOV -2003,50
DEC -2003,37.6
JAN -2004,24.7
FEB -2004,35
MAR -2004,43.5
APR -2004,53.6
MAY -2004,65.2
JUN -2004,71.2
JUL -2004,74.5
AUG -2004,74.2
SEP -2004,69.3
OCT -2004,56
NOV -2004,48.2
DEC -2004,38.4
JAN -2005,31.3
FEB -2005,36.5
MAR -2005,39.4
APR -2005,55.1
MAY -2005,58.9
JUN -2005,74
JUL -2005,77.5
AUG -2005,79.7
SEP -2005,73.3
OCT -2005,57.9
NOV -2005,49.6
DEC -2005,35.3
JAN -2006,40.9
FEB -2006,35.7
MAR -2006,43.1
APR -2006,55.7
MAY -2006,63.1
JUN -2006,71
JUL -2006,77.9
AUG -2006,75.8
SEP -2006,66.6
OCT -2006,56.2
NOV -2006,51.9
DEC -2006,43.6
JAN -2007,37.5
FEB -2007,28.2
MAR -2007,42.2
APR -2007,50.3
MAY -2007,65.2
JUN -2007,71.4
JUL -2007,75
AUG -2007,74
SEP -2007,70.3
OCT -2007,63.6
NOV -2007,45.4
DEC -2007,37
JAN -2008,36.5
FEB -2008,35.8
MAR -2008,42.6
APR -2008,54.9
MAY -2008,60.1
JUN -2008,74
JUL -2008,78.4
AUG -2008,73.8
SEP -2008,68.8
OCT -2008,55.1
NOV -2008,45.8
DEC -2008,38.1
JAN -2009,27.9
FEB -2009,36.7
MAR -2009,42.4
APR -2009,54.5
MAY -2009,62.5
JUN -2009,67.5
JUL -2009,72.7
AUG -2009,75.7
SEP -2009,66.3
OCT -2009,55
NOV -2009,51.2
DEC -2009,35.9
JAN -2010,32.5
FEB -2010,33.1
MAR -2010,48.2
APR -2010,57.9
MAY -2010,65.3
JUN -2010,74.7
JUL -2010,81.3
AUG -2010,77.4
SEP -2010,71.1
OCT -2010,58.1
NOV -2010,47.9
DEC -2010,32.8
JAN -2011,29.7
FEB -2011,36
MAR -2011,42.3
APR -2011,54.3
MAY -2011,64.5
JUN -2011,72.3
JUL -2011,80.2
AUG -2011,75.3
SEP -2011,70
OCT -2011,57.1
NOV -2011,51.9
DEC -2011,43.3
JAN -2012,37.3
FEB -2012,40.9
MAR -2012,50.9
APR -2012,54.8
MAY -2012,65.1
JUN -2012,71
JUL -2012,78.8
AUG -2012,76.7
SEP -2012,68.8
OCT -2012,58
NOV -2012,43.9
DEC -2012,41.5
JAN -2013,35.1
FEB -2013,33.9
MAR -2013,40.1
APR -2013,53
MAY -2013,62.8
JUN -2013,72.7
JUL -2013,79.8
AUG -2013,74.6
SEP -2013,67.9
OCT -2013,60.2
NOV -2013,45.3
DEC -2013,38.5
JAN -2014,28.6
FEB -2014,31.6
MAR -2014,37.7
APR -2014,52.3
MAY -2014,64
JUN -2014,72.5
JUL -2014,76.1
AUG -2014,74.5
SEP -2014,69.7
OCT -2014,59.6
NOV -2014,45.3
DEC -2014,40.5
JAN -2015,29.9
FEB -2015,23.9
MAR -2015,38.1
APR -2015,54.3
MAY -2015,68.5
JUN -2015,71.2
JUL -2015,78.8
AUG -2015,79
SEP -2015,74.5
OCT -2015,58
NOV -2015,52.8
DEC -2015,50.8
JAN -2016,34.5
FEB -2016,37.7
MAR -2016,48.9
APR -2016,53.3
MAY -2016,62.8
JUN -2016,72.3
JUL -2016,78.7
AUG -2016,79.2
SEP -2016,71.8
OCT -2016,58.8
NOV -2016,49.8
DEC -2016,38.3
JAN -2017,38
FEB -2017,41.6
MAR -2017,39.2
APR -2017,57.2
MAY -2017,61.1
JUN -2017,72
JUL -2017,76.8
AUG -2017,74
SEP -2017,70.5
OCT -2017,64.1
NOV -2017,46.6
DEC -2017,33.4
JAN -2018,31.7
FEB -2018,42
MAR -2018,40.1
APR -2018,49.5
MAY -2018,66.9
JUN -2018,71.7
JUL -2018,77.6
AUG -2018,78.1
SEP -2018,70.7
OCT -2018,57.7
NOV -2018,44.4
DEC -2018,40.1
JAN -2019,32.5
FEB -2019,36.2
MAR -2019,41.7
APR -2019,55.5
MAY -2019,62.2
JUN -2019,71.7
JUL -2019,79.6
AUG -2019,75.5
SEP -2019,70.4
OCT -2019,59.9
NOV -2019,43.9
DEC -2019,38.3
JAN -2020,39.1
FEB -2020,40.1
MAR -2020,48
APR -2020,50.4
MAY -2020,60.3
JUN -2020,73.7
JUL -2020,80
AUG -2020,76.9
SEP -2020,68.8
OCT -2020,57.9
NOV -2020,53
DEC -2020,39.2
JAN -2021,34.8
FEB -2021,34.2
MAR -2021,45.8
APR -2021,54.6
MAY -2021,62.9
JUN -2021,74.3
JUL -2021,76
AUG -2021,77.5
SEP -2021,70.3
OCT -2021,62
NOV -2021,46.2
DEC -2021,43.8
JAN -2022,30.3
FEB -2022,37.3
MAR -2022,45.3
APR -2022,52.8
MAY -2022,64
JUN -2022,71.4
JUL -2022,79.5
AUG -2022,79.3
SEP -2022,69.5
OCT -2022,56.9
NOV -2022,50.9
DEC -2022,38.5
JAN -2023,43.5
FEB -2023,41.1
MAR -2023,44.6
APR -2023,57.6
MAY -2023,62.7
JUN -2023,70
JUL -2023,79
AUG -2023,75
SEP -2023,69.4
OCT -2023,60.5
NOV -2023,46.7
DEC -2023,44.6
JAN -2024,37
FEB -2024,40.1
MAR -2024,48.1
APR -2024,55.6
MAY -2024,65
JUN -2024,75.1
JUL -2024,79.6
AUG -2024,75.1
SEP -2024,68.8
OCT -2024,60.9
NOV -2024,51.4
DEC -2024,38.2
